,Unnamed: 0,Accident Ref.,Borough,Easting,Northing,Vehicle Type,Unnamed: 0,Y,X
174,881,0111CW10389,WESTMINSTER,529970,178290,01 Pedal Cycle,174,-0.12939037,51.48863153
175,883,0111CW10390,WESTMINSTER,527190,181850,01 Pedal Cycle,175,-0.16812629,51.52125693
176,900,0111CW10406,WESTMINSTER,527070,182860,01 Pedal Cycle,176,-0.1694908,51.53036081
177,938,0111CW10458,WESTMINSTER,526310,181820,01 Pedal Cycle,177,-0.18081414,51.5211846
178,989,0111CW10514,WESTMINSTER,530250,178790,01 Pedal Cycle,178,-0.12517541,51.49306059
179,991,0111CW10515,WESTMINSTER,529440,178910,01 Pedal Cycle,179,-0.13679264,51.49432485
180,996,0111CW10519,WESTMINSTER,529360,178720,01 Pedal Cycle,180,-0.13801398,51.49263563
181,1000,0111CW10527,WESTMINSTER,530070,180710,01 Pedal Cycle,181,-0.12705912,51.51035674
182,1018,0111CW10568,WESTMINSTER,529290,180680,01 Pedal Cycle,182,-0.1383037,51.51026597
183,1024,0111CW10571,WESTMINSTER,530220,179110,01 Pedal Cycle,183,-0.12548929,51.49594329
184,1038,0111CW10607,WESTMINSTER,529170,180420,01 Pedal Cycle,184,-0.14012713,51.50795679
185,1061,0111CW10637,WESTMINSTER,529110,180990,01 Pedal Cycle,185,-0.14078257,51.51309303
186,1063,0111CW10638,WESTMINSTER,529210,180810,01 Pedal Cycle,186,-0.13940822,51.51145254
187,1070,0111CW10645,WESTMINSTER,525340,181990,01 Pedal Cycle,187,-0.19472739,51.52292828
188,1107,0111CW10693,WESTMINSTER,528930,179310,01 Pedal Cycle,188,-0.14398902,51.49803605
189,1114,0111CW10697,WESTMINSTER,528740,181400,01 Pedal Cycle,189,-0.14596198,51.51686201
190,1119,0111CW10705,WESTMINSTER,528540,181790,01 Pedal Cycle,190,-0.14870062,51.52041241
191,1123,0111CW10709,WESTMINSTER,529820,181050,01 Pedal Cycle,191,-0.13053445,51.51346971
192,1138,0111CW10731,WESTMINSTER,528350,181580,01 Pedal Cycle,192,-0.15151408,51.51856832
193,1142,0111CW10733,WESTMINSTER,529760,180900,01 Pedal Cycle,193,-0.13145383,51.51213544
194,1144,0111CW10735,WESTMINSTER,529770,181140,01 Pedal Cycle,194,-0.13122149,51.51429
195,1165,0111CW10762,WESTMINSTER,526590,182424,01 Pedal Cycle,195,-0.17656359,51.52655017
196,1167,0111CW10765,WESTMINSTER,530170,179650,01 Pedal Cycle,196,-0.12601001,51.50080768
197,1173,0111CW10770,WESTMINSTER,530650,180860,01 Pedal Cycle,197,-0.11865047,51.51157108
198,1176,0111CW10771,WESTMINSTER,526380,180680,01 Pedal Cycle,198,-0.18021434,51.51092367
199,1179,0111CW10774,WESTMINSTER,527250,182120,01 Pedal Cycle,199,-0.16716447,51.52366993
200,1188,0111CW10791,WESTMINSTER,529250,181270,01 Pedal Cycle,200,-0.13866353,51.51557738
201,1193,0111CW10799,WESTMINSTER,527100,180200,01 Pedal Cycle,201,-0.17001749,51.50644854
202,1200,0111CW10803,WESTMINSTER,526580,182430,01 Pedal Cycle,202,-0.17670551,51.52660633
203,1207,0111CW10812,WESTMINSTER,528350,179760,01 Pedal Cycle,203,-0.15217637,51.50221204
204,1223,0111CW10832,WESTMINSTER,528800,180130,01 Pedal Cycle,204,-0.1455615,51.50543495
205,1225,0111CW10836,WESTMINSTER,528430,180090,01 Pedal Cycle,205,-0.15090428,51.50515959
206,1243,0111CW10862,WESTMINSTER,529950,180300,01 Pedal Cycle,206,-0.12893839,51.50669971
207,1251,0111CW10869,WESTMINSTER,527704,180881,01 Pedal Cycle,207,-0.16107273,51.51243267
208,1255,0111CW10872,WESTMINSTER,528910,182060,01 Pedal Cycle,208,-0.14327194,51.52275464
209,1257,0111CW10873,WESTMINSTER,527810,181780,01 Pedal Cycle,209,-0.15922016,51.52048803
210,1260,0111CW10879,WESTMINSTER,526690,180910,01 Pedal Cycle,210,-0.17566692,51.51292135
211,1273,0111CW10895,WESTMINSTER,529610,178300,01 Pedal Cycle,211,-0.13456898,51.48880395
212,1274,0111CW10896,WESTMINSTER,526980,182980,01 Pedal Cycle,212,-0.17074432,51.53145949
213,1278,0111CW10898,WESTMINSTER,529980,178300,01 Pedal Cycle,213,-0.12924274,51.48871911
214,1287,0111CW10912,WESTMINSTER,528210,182040,01 Pedal Cycle,214,-0.15336344,51.52273408
215,1289,0111CW10914,WESTMINSTER,529630,179150,01 Pedal Cycle,215,-0.13396909,51.49643822
216,1292,0111CW10916,WESTMINSTER,528010,180670,01 Pedal Cycle,216,-0.15674203,51.51046724
217,1293,0111CW10919,WESTMINSTER,528390,181010,01 Pedal Cycle,217,-0.15114544,51.51343667
218,1300,0111CW10926,WESTMINSTER,528690,181150,01 Pedal Cycle,218,-0.14677342,51.51462666
219,1302,0111CW10927,WESTMINSTER,530050,180360,01 Pedal Cycle,219,-0.1274762,51.50721594
220,1304,0111CW10929,WESTMINSTER,529030,181500,01 Pedal Cycle,220,-0.14174818,51.5176946
221,1306,0111CW10930,WESTMINSTER,526140,181370,01 Pedal Cycle,221,-0.18342414,51.51717836
222,1309,0111CW10936,WESTMINSTER,528360,181090,01 Pedal Cycle,222,-0.15154842,51.51416244
223,1312,0111CW10944,WESTMINSTER,528680,181150,01 Pedal Cycle,223,-0.14691746,51.51462893
224,1315,0111CW10945,WESTMINSTER,527520,182640,01 Pedal Cycle,224,-0.16308658,51.52828233
225,1324,0111CW10959,WESTMINSTER,528110,179100,01 Pedal Cycle,225,-0.15587183,51.49633502
226,1326,0111CW10960,WESTMINSTER,526920,180690,01 Pedal Cycle,226,-0.17243338,51.51089262
227,1329,0111CW10962,WESTMINSTER,530240,178740,01 Pedal Cycle,227,-0.1253378,51.49261355
228,1331,0111CW10963,WESTMINSTER,527290,181570,01 Pedal Cycle,228,-0.16678681,51.51871806
229,1333,0111CW10968,WESTMINSTER,527440,180160,01 Pedal Cycle,229,-0.16513559,51.50601257
