,Accident Ref.,Borough,Easting,Northing,Vehicle Type
621,0111CW10030,WESTMINSTER,529960,178290,01 Pedal Cycle
631,0111CW10047,WESTMINSTER,529960,178280,01 Pedal Cycle
669,0111CW10098,WESTMINSTER,527440,183400,01 Pedal Cycle
675,0111CW10108,WESTMINSTER,529430,180970,01 Pedal Cycle
688,0111CW10127,WESTMINSTER,530310,179900,01 Pedal Cycle
748,0111CW10229,WESTMINSTER,529270,179200,01 Pedal Cycle
764,0111CW10253,WESTMINSTER,528750,179790,01 Pedal Cycle
782,0111CW10273,WESTMINSTER,525710,182160,01 Pedal Cycle
812,0111CW10307,WESTMINSTER,527000,180770,01 Pedal Cycle
813,0111CW10307,WESTMINSTER,527000,180770,01 Pedal Cycle
814,0111CW10309,WESTMINSTER,528710,182020,01 Pedal Cycle
820,0111CW10314,WESTMINSTER,525900,180630,01 Pedal Cycle
826,0111CW10320,WESTMINSTER,529790,180452,01 Pedal Cycle
837,0111CW10334,WESTMINSTER,528700,179330,01 Pedal Cycle
859,0111CW10364,WESTMINSTER,529330,180910,01 Pedal Cycle
862,0111CW10367,WESTMINSTER,529730,180530,01 Pedal Cycle
881,0111CW10389,WESTMINSTER,529970,178290,01 Pedal Cycle
883,0111CW10390,WESTMINSTER,527190,181850,01 Pedal Cycle
900,0111CW10406,WESTMINSTER,527070,182860,01 Pedal Cycle
938,0111CW10458,WESTMINSTER,526310,181820,01 Pedal Cycle
989,0111CW10514,WESTMINSTER,530250,178790,01 Pedal Cycle
991,0111CW10515,WESTMINSTER,529440,178910,01 Pedal Cycle
996,0111CW10519,WESTMINSTER,529360,178720,01 Pedal Cycle
1000,0111CW10527,WESTMINSTER,530070,180710,01 Pedal Cycle
1018,0111CW10568,WESTMINSTER,529290,180680,01 Pedal Cycle
1024,0111CW10571,WESTMINSTER,530220,179110,01 Pedal Cycle
1038,0111CW10607,WESTMINSTER,529170,180420,01 Pedal Cycle
1061,0111CW10637,WESTMINSTER,529110,180990,01 Pedal Cycle
1063,0111CW10638,WESTMINSTER,529210,180810,01 Pedal Cycle
1070,0111CW10645,WESTMINSTER,525340,181990,01 Pedal Cycle
1107,0111CW10693,WESTMINSTER,528930,179310,01 Pedal Cycle
1114,0111CW10697,WESTMINSTER,528740,181400,01 Pedal Cycle
1119,0111CW10705,WESTMINSTER,528540,181790,01 Pedal Cycle
1123,0111CW10709,WESTMINSTER,529820,181050,01 Pedal Cycle
1138,0111CW10731,WESTMINSTER,528350,181580,01 Pedal Cycle
1142,0111CW10733,WESTMINSTER,529760,180900,01 Pedal Cycle
1144,0111CW10735,WESTMINSTER,529770,181140,01 Pedal Cycle
1165,0111CW10762,WESTMINSTER,526590,182424,01 Pedal Cycle
1167,0111CW10765,WESTMINSTER,530170,179650,01 Pedal Cycle
1173,0111CW10770,WESTMINSTER,530650,180860,01 Pedal Cycle
1176,0111CW10771,WESTMINSTER,526380,180680,01 Pedal Cycle
1179,0111CW10774,WESTMINSTER,527250,182120,01 Pedal Cycle
1188,0111CW10791,WESTMINSTER,529250,181270,01 Pedal Cycle
1193,0111CW10799,WESTMINSTER,527100,180200,01 Pedal Cycle
1200,0111CW10803,WESTMINSTER,526580,182430,01 Pedal Cycle
1207,0111CW10812,WESTMINSTER,528350,179760,01 Pedal Cycle
1223,0111CW10832,WESTMINSTER,528800,180130,01 Pedal Cycle
1225,0111CW10836,WESTMINSTER,528430,180090,01 Pedal Cycle
1243,0111CW10862,WESTMINSTER,529950,180300,01 Pedal Cycle
1251,0111CW10869,WESTMINSTER,527704,180881,01 Pedal Cycle
1255,0111CW10872,WESTMINSTER,528910,182060,01 Pedal Cycle
1257,0111CW10873,WESTMINSTER,527810,181780,01 Pedal Cycle
